"","Children in Region on March 31 2017","Children in Care on March 31 2016","Children in Care on March 31 2016","Children in Care on March 31 2016","Children in Care on March 31 2017","Children in Care on March 31 2017","Children in Care on March 31 2017","Average Daily Children in Care","Average Daily Children in Care","Average Daily Children in Care","Total Out of Home Placement-Days on March 31 2017","Total Out of Home Placement-Days on March 31 2017","Total Out of Home Placement-Days on March 31 2017","Total Children Served in Foster Care During April 2016 through March 2017 ","Total Days Children Spent in Foster Care During April 2016 through March 2017 ","Total Days Children Spent in Foster Care During April 2016 through March 2017 ","Total Days Children Spent in Foster Care During April 2016 through March 2017 ","Total Days Children Spent Out of Home During April 2016 through March 2017 ","Total Days Children Spent Out of Home During April 2016 through March 2017 ","Total Days Children Spent Out of Home During April 2016 through March 2017 ","Average Monthly Foster Care Costs During April 2016 through March 2017 ","Average Monthly Foster Care Costs During April 2016 through March 2017 ","Average Monthly Foster Care Costs During April 2016 through March 2017 ","Children in Congregate Settings on March 31 2017","Children in Congregate Settings on March 31 2017","Children in Congregate Settings on March 31 2017","Children In Care with Both TPRs on March 31 2017","Children In Care with Both TPRs on March 31 2017","Children In Care with Both TPRs on March 31 2017","17-Year-Olds In Care with Both TPRs on March 31 2017","17-Year-Olds In Care with Both TPRs on March 31 2017","17-Year-Olds In Care with Both TPRs on March 31 2017","Children in Non-Relative Foster Care on Last Day","Children in Non-Relative Foster Care on Last Day","Children in Non-Relative Foster Care on Last Day","Children in Relative Foster Care on Last Day","Children in Relative Foster Care on Last Day","Children in Relative Foster Care on Last Day","Children in Pre-Adoptive Home on Last Day","Children in Pre-Adoptive Home on Last Day","Children in Pre-Adoptive Home on Last Day","Children in Group Home on Last Day","Children in Group Home on Last Day","Children in Group Home on Last Day","Children in Institution on Last Day","Children in Institution on Last Day","Children in Institution on Last Day","Children in Home Visit on Last Day","Children in Home Visit on Last Day","Children in Home Visit on Last Day","Children in Runaway on Last Day","Children in Runaway on Last Day","Children in Runaway on Last Day","Children in ILP on Last Day","Children in ILP on Last Day","Children in ILP on Last Day","Children Investigated for Maltreatment in Care during February 2016 through January 2017 ","Children Investigated for Maltreatment in Care during February 2016 through January 2017 ","Children Investigated for Maltreatment in Care during February 2016 through January 2017 ","Children Victimized in Care during February 2016 through January 2017 ","Children Victimized in Care during February 2016 through January 2017 ","Children Victimized in Care during February 2016 through January 2017 ","Children Victimized in Care during February 2016 through January 2017 by Parent","Children Victimized in Care during February 2016 through January 2017 by Parent","Children Victimized in Care during February 2016 through January 2017 by Parent","Children Victimized in Care during February 2016 through January 2017 by Foster Parent or Facility Staff","Children Victimized in Care during February 2016 through January 2017 by Foster Parent or Facility Staff","Children Victimized in Care during February 2016 through January 2017 by Foster Parent or Facility Staff","Children Over 12 in Group Settings on March 31 2017","Children Over 12 in Group Settings on March 31 2017","Children Over 12 in Group Settings on March 31 2017","Placement Moves During First 12 Months In Care per 1,000 Child-Days","Placement Moves During First 12 Months In Care per 1,000 Child-Days","Placement Moves During First 12 Months In Care per 1,000 Child-Days","Placements Moves Toward Permanency","Placements Moves Toward Permanency","Placements Moves Toward Permanency","Lateral Placements Moves","Lateral Placements Moves","Lateral Placements Moves","Placements Moves Away from Permanency","Placements Moves Away from Permanency","Placements Moves Away from Permanency","IV-E Reimbursement Rate, Children In Care on March 31 2017","IV-E Reimbursement Rate, Children In Care on March 31 2017","IV-E Reimbursement Rate, Children In Care on March 31 2017","Long Term Foster Care Plan Goal, Children In Care on March 31 2017","Long Term Foster Care Plan Goal, Children In Care on March 31 2017","Long Term Foster Care Plan Goal, Children In Care on March 31 2017","Median Length of Stay, Children In Care on March 31 2016","Median Length of Stay, Children In Care on March 31 2016","Median Length of Stay, Children In Care on March 31 2016","Median Length of Stay, Children In Care on March 31 2017","Median Length of Stay, Children In Care on March 31 2017","Median Length of Stay, Children In Care on March 31 2017","Permanency within 12 Months, Children In Care on March 31 2016","Permanency within 12 Months, Children In Care on March 31 2016","Permanency within 12 Months, Children In Care on March 31 2016","Permanency within 12 Months, Children with Both TPRs In Care on March 31 2016","Permanency within 12 Months, Children with Both TPRs In Care on March 31 2016","Permanency within 12 Months, Children with Both TPRs In Care on March 31 2016","In Care Over 18 Months on March 31 2017","In Care Over 18 Months on March 31 2017","In Care Over 18 Months on March 31 2017","In Care Over 24 Months on March 31 2017","In Care Over 24 Months on March 31 2017","In Care Over 24 Months on March 31 2017","In Non-Relative Care Over 24 Months on March 31 2017","In Non-Relative Care Over 24 Months on March 31 2017","In Non-Relative Care Over 24 Months on March 31 2017","In Non-Relative Care Over 24 Months with Both TPRs on March 31 2017","In Non-Relative Care Over 24 Months with Both TPRs on March 31 2017","In Non-Relative Care Over 24 Months with Both TPRs on March 31 2017","In Care Over 18 Months on March 31 2016 Permanent within 12 Months","In Care Over 18 Months on March 31 2016 Permanent within 12 Months","In Care Over 18 Months on March 31 2016 Permanent within 12 Months","In Care Over 24 Months on March 31 2016 Permanent within 12 Months","In Care Over 24 Months on March 31 2016 Permanent within 12 Months","In Care Over 24 Months on March 31 2016 Permanent within 12 Months","Entering 18th Month In Care during April 2015 through March 2016 Permanent within 12 Months","Entering 18th Month In Care during April 2015 through March 2016 Permanent within 12 Months","Entering 18th Month In Care during April 2015 through March 2016 Permanent within 12 Months"
"Region","Count","N","per.10K","Rank","N","per.10K","Rank","N","per.10K","Rank","N","per.10K","Rank","Count","N","per.10K","Rank","N","per.10K","Rank","N","per.10K","Rank","N","per.10K","Rank","N","per.10K","Rank","N","per.10K","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Per.1K.Days","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","months","Rank","N","months","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank","N","Percent","Rank"
"Appling","4787","13","27","127","39","81","54","22","46.5","98","12315","25726","94","48","7724","16155","104","7724","16155","104","28594","59804","105","7","14.6","29.5","4","8.4","75.5","0","0","108","'9/39","23","146.5","'23/39","59","17.0","'0/39","0","118.0","'1/39","3","86.5","'6/39","15","16.5","'0/39","0","105.0","'0/39","0","98.0","'0/39","0","80","'0/42","0.00","139.5","'0/42","0.00","114.5","'0/42","0.00","97.0","'0/42","0.00","100.0","'6/7","86","117.0","'4/3,939","1.0","146.0","'2/10","20","130.5","'7/10","70","27.0","'1/10","10","99.0","'7/39","18","119.0","'0/39","0","122.5","13","10.9","71","39","5.1","149.5","'3/13","23","135.0","'0/4","0","141.5","'8/39","21","124.5","'6/39","15","112.0","'6/39","15","93.0","'4/6","67","56.0","'0/4","0","145.0","'0/3","0","141.0","'2/5","40","80.5"
"Atkinson","2356","20","85","39","19","81","54","21","87.3","42","12308","52241","35","24","7526","31877","40","7526","31877","39","26074","110440","49","0","0","147","0","0","148","0","0","108","'10/19","53","71.5","'9/19","47","28.5","'0/19","0","118.0","'0/19","0","131.5","'0/19","0","142.0","'0/19","0","105.0","'0/19","0","98.0","'0/19","0","80","'2/24","8.33","27.0","'1/24","4.17","9.0","'1/24","4.17","3.0","'0/24","0.00","100.0","'0/0","na","na","'2/1,038","1.9","135.5","'4/12","33","67.0","'7/12","58","67.5","'1/12","8","113.5","'10/19","53","12.0","'0/19","0","122.5","20","17.2","20","19","21.7","20","'4/20","20","138.5","'0/0","na","na","'10/19","53","29.5","'8/19","42","22.5","'7/19","37","20.0","'0/7","0","150.5","'3/4","75","21.0","'3/3","100","27.0","'0/1","0","143.5"
"Bacon","2913","29","100","27.5","33","113","26.5","33","112.3","21","24573","84356","10","42","11818","40647","22","11818","40647","22","37763","129881","35","2","6.9","73.5","4","13.7","42","1","3.4","5","'21/33","64","32.0","'6/33","18","116.5","'4/33","12","7.5","'2/33","6","50.0","'0/33","0","142.0","'0/33","0","105.0","'0/33","0","98.0","'0/33","0","80","'2/41","4.88","75.0","'1/41","2.44","20.0","'0/41","0.00","97.0","'0/41","0.00","100.0","'2/2","100","57.5","'7/2,743","2.6","118.5","'5/21","24","118.0","'14/21","67","35.0","'2/21","10","99.0","'20/33","61","7.0","'0/33","0","122.5","29","14.3","34","33","23.3","18","'7/29","24","131.0","'0/6","0","141.5","'21/33","64","13.5","'16/33","48","18.5","'14/33","42","16.0","'3/14","21","134.5","'0/11","0","145.0","'0/8","0","141.0","'0/6","0","143.5"
"Baker","723","4","54","79.5","4","55","91.5","4","55","81","3700","51176","36","4","1460","20064","81","1460","20064","81","6846","94082","64","1","13.8","36.5","4","55.3","2","1","13.8","1","'3/4","75","10.0","'0/4","0","153.0","'0/4","0","118.0","'1/4","25","1.0","'0/4","0","142.0","'0/4","0","105.0","'0/4","0","98.0","'0/4","0","80","'0/4","0.00","139.5","'0/4","0.00","114.5","'0/4","0.00","97.0","'0/4","0.00","100.0","'1/1","100","57.5","'0/NA","na","na","'1/2","50","19.5","'1/2","50","108.0","'0/2","0","144.0","'4/4","100","5.0","'0/4","0","122.5","4","18.4","18.5","4","30.4","11","'0/4","0","156.0","'0/4","0","141.5","'4/4","100","6.0","'4/4","100","6.0","'4/4","100","6.0","'4/4","100","23.5","'0/4","0","145.0","'0/0","na","na","'0/4","0","143.5"
"Baldwin","9433","62","66","60","69","73","59.5","68","72.1","62","30206","32022","74","107","24836","26342","62","24836","26342","62","106580","113042","46","6","6.4","77.5","5","5.3","100.5","0","0","108","'43/69","62","38.0","'18/69","26","102.5","'1/69","1","70.5","'1/69","1","101.0","'5/69","7","74.5","'0/69","0","105.0","'1/69","1","24.0","'0/69","0","80","'16/104","15.38","7.0","'6/104","5.77","5.0","'4/104","3.85","4.0","'2/104","1.92","10.0","'6/6","100","57.5","'60/7,674","7.8","22.5","'13/31","42","35.5","'16/31","52","92.5","'2/31","6","124.0","'17/69","25","92.0","'0/69","0","122.5","62","7.9","120","69","11.9","93","'25/62","40","62.5","'6/11","55","36.0","'17/69","25","112.5","'8/69","12","123.0","'8/69","12","111.5","'5/8","62","63.5","'10/17","59","38.0","'1/7","14","118.0","'10/11","91","29.0"
"Banks","4594","30","65","63","45","98","41","45","98.7","34","15123","32919","73","80","16373","35615","34","16373","35615","34","57789","125705","37","1","2.2","125.5","4","8.7","73","0","0","108","'27/45","60","44.5","'14/45","31","84.5","'3/45","7","19.5","'0/45","0","131.5","'1/45","2","122.5","'0/45","0","105.0","'0/45","0","98.0","'0/45","0","80","'11/78","14.10","8.0","'1/78","1.28","35.0","'0/78","0.00","97.0","'1/78","1.28","17.5","'1/1","100","57.5","'33/7,451","4.4","69.0","'9/39","23","120.5","'29/39","74","21.5","'1/39","3","128.0","'12/45","27","81.5","'0/45","0","122.5","30","8.1","115.5","45","7.3","144.5","'14/30","47","43.5","'1/11","9","118.0","'12/45","27","103.5","'6/45","13","119.5","'6/45","13","105.5","'4/6","67","56.0","'2/4","50","50.0","'1/3","33","86.5","'1/4","25","107.5"
"Barrow","21382","114","54","79.5","117","55","91.5","122","57.2","79","58161","27201","90","160","44357","20857","79","44357","20857","79","149512","70302","88","8","3.7","106.5","20","9.4","65","2","0.9","28.5","'67/117","57","56.5","'39/117","33","76.5","'3/117","3","46.5","'4/117","3","86.5","'4/117","3","117.0","'0/117","0","105.0","'0/117","0","98.0","'0/117","0","80","'14/160","8.75","20.0","'0/160","0.00","114.5","'0/160","0.00","97.0","'0/160","0.00","100.0","'8/8","100","57.5","'36/8,931","4.0","85.5","'17/76","22","124.0","'55/76","72","23.5","'4/76","5","126.0","'19/117","16","127.0","'0/117","0","122.5","114","9.1","96","117","14.6","62","'34/114","30","100.5","'9/36","25","86.0","'46/117","39","65.5","'20/117","17","100.5","'19/117","16","88.0","'13/19","68","51.5","'11/22","50","50.0","'9/13","69","36.0","'11/23","48","66.5"
"Bartow","27578","254","92","35","153","55","91.5","202","73.3","60","92825","33659","69","328","75194","27315","59","75170","27306","58","379170","137739","30","36","13.1","39.5","45","16.3","32","4","1.5","22","'72/153","47","99.0","'38/153","25","106.0","'6/153","4","34.5","'7/153","5","66.0","'29/153","19","10.5","'0/153","0","105.0","'1/153","1","24.0","'0/153","0","80","'23/349","6.59","57.0","'4/349","1.15","40.0","'0/349","0.00","97.0","'4/349","1.15","21.0","'33/36","92","98.5","'52/12,918","4.0","85.5","'82/151","54","14.0","'53/151","35","136.0","'16/151","11","90.0","'52/153","34","47.0","'9/153","6","27.5","254","12.4","53","153","15.8","52","'147/254","58","18.0","'42/113","37","62.5","'64/153","42","61.0","'42/153","27","60.5","'38/153","25","47.5","'27/38","71","48.0","'47/86","55","40.0","'11/37","30","94.5","'71/106","67","39.5"
"Ben Hill","4585","50","109","20","74","161","5.5","61","133.6","12","32896","71747","18","109","22141","48232","14","22141","48232","14","94101","204992","9","9","19.6","10","4","8.7","73","0","0","108","'44/74","59","49.5","'19/74","26","102.5","'0/74","0","118.0","'4/74","5","66.0","'5/74","7","74.5","'2/74","3","25.5","'0/74","0","98.0","'0/74","0","80","'7/105","6.67","54.0","'1/105","0.95","44.0","'0/105","0.00","97.0","'0/105","0.00","100.0","'7/9","78","136.5","'45/9,491","4.7","61.5","'12/34","35","55.5","'18/34","53","89.0","'4/34","12","79.0","'13/74","18","119.0","'2/74","3","53.0","50","9.1","96","74","10.2","112","'20/50","40","62.5","'0/4","0","141.5","'20/74","27","103.5","'14/74","19","91.0","'12/74","16","88.0","'3/12","25","130.0","'1/11","9","127.0","'1/9","11","120.5","'0/4","0","143.5"
